,id,prob,pred
16,mp-1172860,0.949921190738678,1
88,mp-614777,0.9418612122535706,1
91,mp-881173,0.9298328757286072,1
34,mp-765633,0.9248549342155457,1
33,mp-759739,0.9215019941329956,1
18,mp-1178903,0.9099377393722534,1
89,mp-752687,0.9098549485206604,1
15,mp-780699,0.9078608751296997,1
32,mp-756285,0.9066905975341797,1
51,mp-849358,0.9064100384712219,1
74,mp-1210608,0.9051646590232849,1
67,mp-755244,0.9047834873199463,1
40,mp-1198989,0.903304934501648,1
119,mp-757118,0.902573823928833,1
11,mp-754895,0.9008426666259766,1
71,mp-1176417,0.9006957411766052,1
126,mp-755111,0.8956928849220276,1
68,mp-849460,0.8954352736473083,1
118,mp-768262,0.8954097628593445,1
35,mp-776164,0.8937467932701111,1
110,mp-1344143,0.8917427659034729,1
17,mp-1178278,0.8905077576637268,1
48,mp-644332,0.8896633386611938,1
49,mp-715276,0.8888685703277588,1
47,mp-6294,0.8879019618034363,1
50,mp-757174,0.8871349692344666,1
92,mp-1042170,0.8833493590354919,1
9,mp-16796,0.8819980621337891,1
117,mp-755907,0.881942093372345,1
123,mp-18928,0.881422758102417,1
30,mp-754412,0.8811781406402588,1
45,mp-20223,0.880156397819519,1
125,mp-504445,0.8798589706420898,1
38,mp-1188108,0.8782809376716614,1
13,mp-759590,0.8781014084815979,1
46,mp-2229988,0.8769513368606567,1
70,mp-10856,0.8751893639564514,1
82,mp-1435359,0.8742580413818359,1
121,mp-1222227,0.8718210458755493,1
24,mp-1227481,0.8717248439788818,1
73,mp-1192215,0.8699093461036682,1
52,mp-1105304,0.8693079352378845,1
57,mp-1193395,0.867985188961029,1
22,mp-1218581,0.8669764995574951,1
4,mp-1223018,0.866033136844635,1
31,mp-755255,0.8656198978424072,1
64,mp-625242,0.8634308576583862,1
10,mp-2232127,0.8626912832260132,1
78,mp-1227194,0.8622661232948303,1
95,mp-1208846,0.8608410954475403,1
128,mp-764044,0.8606680631637573,1
84,mp-22224,0.8604928851127625,1
120,mp-11892,0.85982346534729,1
61,mp-1271792,0.8588545322418213,1
103,mp-18442,0.8558028936386108,1
27,mp-1272996,0.8547689914703369,1
122,mp-1272373,0.8537309169769287,1
99,mp-1221552,0.8529078364372253,1
85,mp-22554,0.8517122268676758,1
86,mp-4233,0.8509609699249268,1
80,mp-1272187,0.8503559231758118,1
116,mp-560149,0.8498516082763672,1
8,mp-1379764,0.8488818407058716,1
72,mp-1176698,0.848092257976532,1
102,mp-1446564,0.8474615812301636,1
43,mp-1223294,0.8466469049453735,1
54,mp-1176733,0.8445619344711304,1
42,mp-1222206,0.8437590003013611,1
65,mp-6603,0.8434273600578308,1
107,mp-1211080,0.8433741331100464,1
60,mp-1251643,0.8397661447525024,1
108,mp-1222459,0.8366182446479797,1
76,mp-1211106,0.8336262106895447,1
113,mp-22329,0.8331629633903503,1
112,mp-2224731,0.8313292264938354,1
1,mp-1209899,0.8309511542320251,1
0,mp-1188480,0.8293757438659668,1
28,mp-22616,0.8291144967079163,1
44,mp-1227182,0.8290570974349976,1
83,mp-20161,0.8275918960571289,1
109,mp-1283659,0.8273866772651672,1
101,mp-12450,0.8264666795730591,1
12,mp-757465,0.8259454965591431,1
69,mp-1079443,0.8250306248664856,1
93,mp-1120752,0.8250057101249695,1
21,mp-1210954,0.8237881660461426,1
98,mp-1221054,0.8225170373916626,1
75,mp-1210924,0.8223565220832825,1
96,mp-1211045,0.8220003247261047,1
26,mp-12449,0.8147071599960327,1
29,mp-753032,0.8141956329345703,1
23,mp-1227410,0.8129310607910156,1
111,mp-20970,0.8128675818443298,1
36,mp-1094044,0.812534511089325,1
81,mp-1340170,0.8093802332878113,1
37,mp-1101913,0.8045935034751892,1
59,mp-1227732,0.8019870519638062,1
62,mp-1317719,0.7994039058685303,1
58,mp-1223365,0.7912749648094177,1
39,mp-1194374,0.7891074419021606,1
100,mp-1227180,0.7881144285202026,1
106,mp-1178219,0.7872901558876038,1
124,mp-20699,0.7859913110733032,1
5,mp-1227724,0.7809679508209229,1
127,mp-759142,0.7760323882102966,1
115,mp-504678,0.7710393071174622,1
90,mp-755627,0.7652069926261902,1
105,mp-5692,0.7284649610519409,1
66,mp-754231,0.7251818180084229,1
6,mp-1235273,0.7249792218208313,1
87,mp-4789,0.7228110432624817,1
19,mp-1200659,0.7210069298744202,1
20,mp-1207705,0.7120652794837952,1
7,mp-1340758,0.7070435285568237,1
25,mp-1233249,0.7048363089561462,1
114,mp-3165,0.7010234594345093,1
97,mp-1213826,0.6825652718544006,1
79,mp-1233484,0.6774178743362427,1
104,mp-33009,0.6694832444190979,1
55,mp-1178420,0.6631274819374084,1
41,mp-1212108,0.6365014910697937,1
2,mp-1213022,0.6310125589370728,1
77,mp-1212884,0.5966245532035828,1
56,mp-1192540,0.5497175455093384,1
63,mp-542397,0.5363983511924744,1
53,mp-1105811,0.5241605043411255,1
94,mp-1173526,0.4849923551082611,0
14,mp-778510,0.4621584415435791,0
3,mp-1221787,0.4150034189224243,0
